2025-01-20T09:36:37.136Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:36:42.952Z [INFO]: Registering inventory routes
2025-01-20T09:36:42.963Z [INFO]: Server draait op poort 27017
2025-01-20T09:36:42.968Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:36:53.672Z [INFO]: Registering inventory routes
2025-01-20T09:36:57.979Z [INFO]: Registering inventory routes
2025-01-20T09:37:00.776Z [INFO]: Registering inventory routes
2025-01-20T09:37:00.785Z [INFO]: Server draait op poort 27017
2025-01-20T09:37:00.789Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:38:35.438Z [INFO]: Registering inventory routes
2025-01-20T09:38:35.448Z [INFO]: Server draait op poort 27017
2025-01-20T09:38:35.454Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:41:23.688Z [INFO]: Registering inventory routes
2025-01-20T09:41:23.698Z [INFO]: Server draait op poort 27017
2025-01-20T09:41:23.702Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:41:24.562Z [INFO]: Registering inventory routes
2025-01-20T09:41:24.570Z [INFO]: Server draait op poort 27017
2025-01-20T09:41:24.575Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:41:26.612Z [INFO]: Registering inventory routes
2025-01-20T09:41:26.621Z [INFO]: Server draait op poort 27017
2025-01-20T09:41:26.624Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:41:32.633Z [INFO]: Registering inventory routes
2025-01-20T09:41:32.641Z [INFO]: Server draait op poort 27017
2025-01-20T09:41:32.645Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:41:34.032Z [INFO]: Registering inventory routes
2025-01-20T09:41:34.041Z [INFO]: Server draait op poort 27017
2025-01-20T09:41:34.044Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:41:40.982Z [INFO]: Registering inventory routes
2025-01-20T09:41:40.990Z [INFO]: Server draait op poort 27017
2025-01-20T09:41:40.994Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:42:01.452Z [INFO]: Registering inventory routes
2025-01-20T09:42:01.462Z [INFO]: Server draait op poort 27017
2025-01-20T09:42:01.466Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:42:04.215Z [INFO]: Registering inventory routes
2025-01-20T09:42:04.223Z [INFO]: Server draait op poort 27017
2025-01-20T09:42:04.227Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:42:06.799Z [INFO]: Registering inventory routes
2025-01-20T09:42:06.807Z [INFO]: Server draait op poort 27017
2025-01-20T09:42:06.811Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:42:09.312Z [INFO]: Registering inventory routes
2025-01-20T09:42:09.320Z [INFO]: Server draait op poort 27017
2025-01-20T09:42:09.324Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:42:11.814Z [INFO]: Registering inventory routes
2025-01-20T09:42:11.823Z [INFO]: Server draait op poort 27017
2025-01-20T09:42:11.827Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:42:13.772Z [INFO]: Registering inventory routes
2025-01-20T09:42:13.782Z [INFO]: Server draait op poort 27017
2025-01-20T09:42:13.786Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:42:15.574Z [INFO]: Registering inventory routes
2025-01-20T09:42:15.583Z [INFO]: Server draait op poort 27017
2025-01-20T09:42:15.587Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:42:17.018Z [INFO]: Registering inventory routes
2025-01-20T09:42:17.029Z [INFO]: Server draait op poort 27017
2025-01-20T09:42:17.033Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:42:18.450Z [INFO]: Registering inventory routes
2025-01-20T09:42:18.458Z [INFO]: Server draait op poort 27017
2025-01-20T09:42:18.461Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:42:19.719Z [INFO]: Registering inventory routes
2025-01-20T09:42:19.727Z [INFO]: Server draait op poort 27017
2025-01-20T09:42:19.731Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:42:21.382Z [INFO]: Registering inventory routes
2025-01-20T09:42:21.392Z [INFO]: Server draait op poort 27017
2025-01-20T09:42:21.395Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:42:27.721Z [INFO]: Registering inventory routes
2025-01-20T09:42:27.729Z [INFO]: Server draait op poort 27017
2025-01-20T09:42:27.733Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:42:31.629Z [INFO]: Registering inventory routes
2025-01-20T09:42:31.641Z [INFO]: Server draait op poort 27017
2025-01-20T09:42:31.645Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:42:37.107Z [INFO]: Registering inventory routes
2025-01-20T09:42:37.116Z [INFO]: Server draait op poort 27017
2025-01-20T09:42:37.119Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:42:40.549Z [INFO]: Registering inventory routes
2025-01-20T09:42:40.557Z [INFO]: Server draait op poort 27017
2025-01-20T09:42:40.561Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:42:41.714Z [INFO]: Registering inventory routes
2025-01-20T09:42:41.723Z [INFO]: Server draait op poort 27017
2025-01-20T09:42:41.727Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:43:06.933Z [INFO]: Registering inventory routes
2025-01-20T09:43:06.943Z [INFO]: Server draait op poort 27017
